GPS,_GPS_latitude,_GPS_longitude,_GPS_altitude,_GPS_precision,_Town_VDC_Village,Please_take_a_photo_when_possi,Gender,Age,receive_relief,government,ngo,youth_groups,neighbours,relatives,others,1_day,2_4_days,5_7_days,8__days,food,formof_relief/sanitation,formof_relief/emergency_medi_1,formof_relief/cash,formof_relief/tents,formof_relief/building_mater,formof_relief/others,top_priority/employment,top_priority/foreign_employ,top_priority/education,top_priority/rebuilding,top_priority/farm_business,top_priority/not_sure,Any_comments,start,end,today,username,simserial,subscriberid,deviceid,phonenumber,meta/instanceID,_uuid,_submission_time,_tags,_notes
n/a,n/a,n/a,n/a,n/a,Balaju,n/a,female,35,Yes,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,As you see my house is totally destroyed. We live under this small cottage here. We build it at our own cost.Government should have given us building materials for temporary house but it hasnot. The government officials are busy in distributing the reliefs to their relative and friends. The victims are getting little releif and the people who dont need relief are filling their godams. Who will do justice to the victims...,2015-09-08T20:08:37.000+06:45,2015-09-08T20:13:17.000+06:45,09/08/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:FBOdIume4rKqMS3B,no phonenumber property in enketo,uuid:2481a467-d786-4ce7-a53d-04a05c16d504,2481a467-d786-4ce7-a53d-04a05c16d504,2015-09-08T14:28:18,,
n/a,n/a,n/a,n/a,n/a,Balaju,n/a,male,35,Yes,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,I got relief after 22 days from earthquake. I got a tent from red cross and Rs 15000 from government . I cut down my house because the upper floor was totally damaged. There are cracks all over house and the water runs through them. There are other problems too. I hope to get easy loan as government has promised and rebuild my house.,2015-09-08T20:04:24.000+06:45,2015-09-08T20:08:37.000+06:45,09/08/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:FBOdIume4rKqMS3B,no phonenumber property in enketo,uuid:9f623251-f7de-4cb0-8e4b-6ee251009a60,9f623251-f7de-4cb0-8e4b-6ee251009a60,2015-09-08T14:23:39,,
n/a,n/a,n/a,n/a,n/a,Balaju,n/a,male,65,Yes,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,I am confused what to do in future.all asset was destroy by quake,2015-09-08T20:26:37.000+06:45,2015-09-08T20:29:42.000+06:45,09/08/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:2B0ZDPaXlg6waTlp,no phonenumber property in enketo,uuid:48f47a9c-722e-47fb-ad8f-bb5b3d8e707b,48f47a9c-722e-47fb-ad8f-bb5b3d8e707b,2015-09-08T14:44:43,,
n/a,n/a,n/a,n/a,n/a,Balaju,n/a,male,56,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Earthquake stucked our 5 storeyed house into ground. 6 people died here under this building. I and my five brothers owned the house. It is true that the houses were attached but there was 5 houses here but government has given us only Rs 15000 and that is compentation of only house. Well lets forget about it. The reliefs aid that are being distributed is not going to the home of victims but to the people with official posts and political connections.Who is going to look after it??,2015-09-08T20:17:40.000+06:45,2015-09-08T20:22:50.000+06:45,09/08/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:FBOdIume4rKqMS3B,no phonenumber property in enketo,uuid:c2d3cb5e-33d2-4992-8894-186e1f7c55f9,c2d3cb5e-33d2-4992-8894-186e1f7c55f9,2015-09-08T14:37:53,,
n/a,n/a,n/a,n/a,n/a,Balaju,n/a,female,45,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,My permanent house is in Gorkha. I live in rent here. I heard my house in Gorkha is destroyed. I dont know about the condition of our house in Gorkha. We cannot go there now. We have all our business here. We didnot get any kind of relief during this 3 months. I think government is in deep sleep.,2015-09-08T22:14:21.000+06:45,2015-09-08T22:17:45.000+06:45,09/08/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:FBOdIume4rKqMS3B,no phonenumber property in enketo,uuid:c50d605b-c8c7-4a27-b101-a5508c4bb323,c50d605b-c8c7-4a27-b101-a5508c4bb323,2015-09-08T16:42:26,,
n/a,n/a,n/a,n/a,n/a,Balaju,n/a,male,41,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"My house is safe and I need no reliefs. I needed tripal at the begining but no one provide us. After a week I was able to buy a tent. I work in an office and I have no problem till now. When we talk about relief here, the government relief are only going to the house of powerful people. The real victims get only few of relief and a great amount of relief is given to those who are close to political leader or governmental officers. The real victims are to be identified and they should be given proper reliefs according to their loss.",2015-09-08T22:17:45.000+06:45,2015-09-08T22:23:23.000+06:45,09/08/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:FBOdIume4rKqMS3B,no phonenumber property in enketo,uuid:a7ad5517-966d-46a0-8747-5f0a15f1da8e,a7ad5517-966d-46a0-8747-5f0a15f1da8e,2015-09-08T16:38:24,,
n/a,n/a,n/a,n/a,n/a,Balaju,n/a,male,62,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,I didnot get any relief. I need nothing because my house is not destroyed by earthquake. But I am amazed seeing the way of relief distribution here. The real victims are not getting relief aids. The government officials and political leader are distributing relief to their relative and follower. Some of them are also earthquake victims but those who are not are also taking reliefs meant to the real victims. My own relative is a government officer and hold the authority in relief distribution. But I am not satisfy with his work because of his biased distribution way. My question is who is going to look after this?,2015-09-08T22:07:25.000+06:45,2015-09-08T22:14:21.000+06:45,09/08/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:FBOdIume4rKqMS3B,no phonenumber property in enketo,uuid:46c46493-28ab-47c3-b46d-f2f1d32e7b04,46c46493-28ab-47c3-b46d-f2f1d32e7b04,2015-09-08T16:29:23,,
n/a,n/a,n/a,n/a,n/a,Balaju,n/a,male,65,Yes,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"I got Rs 15000 from government, a tripal from red cross and food supplies from government. The real problem down here is that the real victims arenot getting relief yet. The people with political connection are getting aids but the simple people with no connections are not getting them. I want to rebuild my house soon. The water leaks from these cracks and it is very difficult to live in here. I hope I could get the easy loan facility from government for rebuilding.",2015-09-08T20:13:17.000+06:45,2015-09-08T20:17:40.000+06:45,09/08/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:FBOdIume4rKqMS3B,no phonenumber property in enketo,uuid:09e42a0e-8871-4ce0-a192-504f0072cb7e,09e42a0e-8871-4ce0-a192-504f0072cb7e,2015-09-08T14:32:42,,
n/a,n/a,n/a,n/a,n/a,Balaju,n/a,female,47,Yes,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,We are really affected by earthquake. We lost our home and we are living under the tent that we got after many days from earthquake. Our priority is rebuilding and I hope to get monetary assistance from government.,2015-09-08T22:54:08.000+06:45,2015-09-08T22:58:15.000+06:45,09/08/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:zVSO3tMoium4xyab,no phonenumber property in enketo,uuid:d5feb619-8aab-4e86-98cd-52e4bb020e17,d5feb619-8aab-4e86-98cd-52e4bb020e17,2015-09-08T17:13:07,,
n/a,n/a,n/a,n/a,n/a,Balaju,n/a,female,36,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,This is my home. The above flats are all destroyed. We live in the ground floor and yes it is risky. We have to repair our house but we are not getting any monetary assistance from anywhere.I hope to get relief from government but seeing the distribution way i dont think any relief will come to our door.,2015-09-08T22:36:01.000+06:45,2015-09-08T22:54:08.000+06:45,09/08/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:zVSO3tMoium4xyab,no phonenumber property in enketo,uuid:9c0ce094-1c2a-4815-bbb0-3bea40d40269,9c0ce094-1c2a-4815-bbb0-3bea40d40269,2015-09-08T17:09:01,,
n/a,n/a,n/a,n/a,n/a,Balaju,n/a,female,47,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,The person holding authority in balaju is very very bad and play bad politics while distributing fund,2015-09-08T17:11:51.000+06:45,2015-09-08T17:18:23.000+06:45,09/08/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:2B0ZDPaXlg6waTlp,no phonenumber property in enketo,uuid:23a0f67c-b118-45ab-bab1-ab74fd66cc76,23a0f67c-b118-45ab-bab1-ab74fd66cc76,2015-09-08T12:32:11,,
n/a,n/a,n/a,n/a,n/a,Balaju,n/a,female,50,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Government are not looking for quake victims.they are silence for relief of victims,2015-09-08T16:53:42.000+06:45,2015-09-08T16:58:59.000+06:45,09/08/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:2B0ZDPaXlg6waTlp,no phonenumber property in enketo,uuid:c0e70e8d-e014-4b1a-8e52-a83fc7d480d8,c0e70e8d-e014-4b1a-8e52-a83fc7d480d8,2015-09-08T12:32:13,,
n/a,n/a,n/a,n/a,n/a,Balaju,n/a,female,30,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Youths should get employment to re build nepal,2015-09-08T17:07:36.000+06:45,2015-09-08T17:09:15.000+06:45,09/08/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:2B0ZDPaXlg6waTlp,no phonenumber property in enketo,uuid:676c4948-88a8-4cc3-b7d6-8b2f62b69c67,676c4948-88a8-4cc3-b7d6-8b2f62b69c67,2015-09-08T12:32:15,,
n/a,n/a,n/a,n/a,n/a,Balaju,n/a,male,56,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Government should provide loan in low interest to build houses,2015-09-08T17:01:43.000+06:45,2015-09-08T17:04:25.000+06:45,09/08/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:2B0ZDPaXlg6waTlp,no phonenumber property in enketo,uuid:1361c272-c93c-411b-90c2-6ae064eea715,1361c272-c93c-411b-90c2-6ae064eea715,2015-09-08T12:32:16,,
n/a,n/a,n/a,n/a,n/a,Balaju,n/a,male,40,Yes,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,There is political influence in distributing fund,2015-09-08T17:04:25.000+06:45,2015-09-08T17:07:36.000+06:45,09/08/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:2B0ZDPaXlg6waTlp,no phonenumber property in enketo,uuid:b316920e-ee1e-456d-94dd-6be6f9763403,b316920e-ee1e-456d-94dd-6be6f9763403,2015-09-08T12:32:17,,
n/a,n/a,n/a,n/a,n/a,Balaju,n/a,male,61,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,People having power only get funds and lower people face struggle 2 get relief,2015-09-08T17:09:15.000+06:45,2015-09-08T17:11:51.000+06:45,09/08/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:2B0ZDPaXlg6waTlp,no phonenumber property in enketo,uuid:3dadeac1-bc87-45b6-baea-cff3c84027b0,3dadeac1-bc87-45b6-baea-cff3c84027b0,2015-09-08T12:32:18,,
n/a,n/a,n/a,n/a,n/a,Balaju,n/a,male,55,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,We have to went frequently and face lots of difficulties to get card,2015-09-08T18:08:41.000+06:45,2015-09-08T18:17:16.000+06:45,09/08/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:2B0ZDPaXlg6waTlp,no phonenumber property in enketo,uuid:e5f74303-b745-469a-89c5-3c8acd5fed1f,e5f74303-b745-469a-89c5-3c8acd5fed1f,2015-09-08T12:32:20,,
n/a,n/a,n/a,n/a,n/a,Balaju,n/a,male,35,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Hoping for government to destroy damaged house so we can get shelter,2015-09-08T18:17:17.000+06:45,2015-09-08T18:20:42.000+06:45,09/08/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:2B0ZDPaXlg6waTlp,no phonenumber property in enketo,uuid:ee4601d6-ecab-45ab-8ec2-8fc2fb700c8e,ee4601d6-ecab-45ab-8ec2-8fc2fb700c8e,2015-09-08T12:35:44,,
n/a,n/a,n/a,n/a,n/a,Balaju,n/a,male,66,Yes,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,House was destroyed by the big house but authority is not taking any responsibilty,2015-09-08T18:20:42.000+06:45,2015-09-08T18:22:51.000+06:45,09/08/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:2B0ZDPaXlg6waTlp,no phonenumber property in enketo,uuid:bbe74998-6481-47ea-a7b2-9f578117f702,bbe74998-6481-47ea-a7b2-9f578117f702,2015-09-08T12:37:54,,
n/a,n/a,n/a,n/a,n/a,Balaju,n/a,male,45,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Relief fund was not systematically distributed and I did not receive any relief fund,2015-09-08T19:09:32.000+06:45,2015-09-08T19:13:13.000+06:45,09/08/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:NLagexF2Tawigsd3,no phonenumber property in enketo,uuid:03688e7b-fd6c-44fb-9c43-9f160aca00a3,03688e7b-fd6c-44fb-9c43-9f160aca00a3,2015-09-08T13:28:14,,
n/a,n/a,n/a,n/a,n/a,Balaju,n/a,male,60,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"I didnot get any reliefs from anyone. i donot need the relief stuffs like food,sanitation etc.What I need is easy loan so that I could rebuild my house.",2015-09-08T20:22:51.000+06:45,2015-09-08T20:30:22.000+06:45,09/08/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:FBOdIume4rKqMS3B,no phonenumber property in enketo,uuid:edc5150c-4fce-4cb6-9a95-460ae369c3eb,edc5150c-4fce-4cb6-9a95-460ae369c3eb,2015-09-08T14:45:24,,
n/a,n/a,n/a,n/a,n/a,Balaju,n/a,female,71,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Our tent are not welly managed so in rainy season we are effected from rain,2015-09-08T19:13:13.000+06:45,2015-09-08T19:16:56.000+06:45,09/08/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:NLagexF2Tawigsd3,no phonenumber property in enketo,uuid:464e44db-1fe4-4863-8166-2e9a77b5bce4,464e44db-1fe4-4863-8166-2e9a77b5bce4,2015-09-08T13:31:58,,
n/a,n/a,n/a,n/a,n/a,Balaju,n/a,female,30,Yes,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Youth should get job and they should unite together to re build nepal,2015-09-08T19:16:57.000+06:45,2015-09-08T19:19:42.000+06:45,09/08/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:NLagexF2Tawigsd3,no phonenumber property in enketo,uuid:196384af-ad2a-4246-8af2-6e119e984386,196384af-ad2a-4246-8af2-6e119e984386,2015-09-08T13:34:44,,
n/a,n/a,n/a,n/a,n/a,Balaju,n/a,female,39,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Any responsible authority from government did not come to verify our houses and taking fund is far from our hanf,2015-09-08T19:19:43.000+06:45,2015-09-08T19:22:46.000+06:45,09/08/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:NLagexF2Tawigsd3,no phonenumber property in enketo,uuid:24e68628-7534-458a-865c-b5056c33e7e8,24e68628-7534-458a-865c-b5056c33e7e8,2015-09-08T13:37:49,,
n/a,n/a,n/a,n/a,n/a,Balaju,n/a,male,57,Yes,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Responsible authority is being so irresponsible for distributing find,2015-09-08T19:25:01.000+06:45,2015-09-08T19:29:00.000+06:45,09/08/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:2B0ZDPaXlg6waTlp,no phonenumber property in enketo,uuid:f23a944a-ce1e-4420-9766-755d3fdfb0f6,f23a944a-ce1e-4420-9766-755d3fdfb0f6,2015-09-08T13:44:01,,
